,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,tweet_id, extracted_url, detections,extracted_url,detections
0,,,,1529952583476985862,,,http://discord.gg/radiantrobots,0
1,,,,1529952582411624448,,,https://opensea.io/assets/matic/0x2953399124f0cbb46d2cbacd8a89cf0599974963/83377123349572652608733995728992721094798845129358567091168540486225358749751,1
2,,,,1529952579806846976,,,https://www.youtube.com/watch?v=2pRwZqyE0cQ,0
3,,,,1529952578338947073,,,http://discord.gg/xsK7MySwZQ,0
4,,,,1529952576573255680,,,http://Discord.gg/FeistyHyenas,0
5,,,,1529952575595991042,,,https://discord.gg/vZ9fSP6T,0
6,,,,1529952570843832321,,,https://discord.gg/h2nVU2psXp,0
7,,,,1529952570348814337,,,http://discord.gg/Bc7pmAKRVK,0
8,,,,1529952565948993540,,,http://discord.gg/bAS3TFStw9,0
9,,,,1529952565194006528,,,https://opensea.io/collection/words-of-widsom,1
10,,,,1529952564795412480,,,https://grushfinance.medium.com/new-updates-in-june-68813bf4d7bd,0
11,,,,1529952560307634176,,,https://t.me/hodlinvestorgroup,0
12,,,,1529952559586238469,,,http://discord.gg/q3Bm4yQyU8,0
13,,,,1529952558848016387,,,https://nftsummit.ist/,0
14,,,,1529952554683183115,,,http://discord.gg/wineway,0
15,,,,1529952553906995200,,,https://discord.gg/AaMMkMPq,0
16,,,,1529952552632082432,,,http://okaytinybears.com,0
17,,,,1529952552451981313,,,http://discord.gg/xsK7MySwZQ,0
18,,,,1529952549205225472,,,https://discord.gg/tokyonftlab,0
19,,,,1529952547821215750,,,http://discord.gg/sovereignnft,0
20,,,,1529952547389120513,,,http://discord.gg/apeinpoker,0
21,,,,1529952530238930945,,,http://discord.gg/et69qhsQAy,0
22,,,,1529952522353401859,,,http://discord.gg/yG7raTJ9KC,0
23,,,,1529952521770438656,,,https://nftsummit.ist/,0
24,,,,1529952514849792000,,,https://discord.gg/QTWpk6GqcY,0
25,,,,1529952510446022656,,,http://discord.gg/bAS3TFStw9,0
