,tweet_id, extracted_url, detections,extracted_url
0,1.5291695370311475e+18,,,
1,1529169536834244608,,,null
2,1.5291695358567424e+18,,,
3,1529169535831625731,,,https://youtu.be/c9oxKB2KR60
4,1529169535517040640,,,https://discord.com/invite/metakongz
5,1529169535370031105,,,https://opensea.io/collection/okeyhumans
6,1529169535307337729,,,null
7,1529169535194091521,,,null
8,1529169534485159936,,,https://events.decentraland.org/event/?id=11fb8d15-832c-4d9e-b708-9b13e51bb070
9,1529169534430633985,,,https://t.me/vibloscommunity
10,1529169534309089280,,,null
11,1529169534267031553,,,null
12,1529169533893844992,,,null
13,1529169533503557632,,,https://opensea.io/collection/mazeverse-official
14,1529169532543172612,,,null
15,1529169532312494081,,,null
16,1529169531461152774,,,null
17,1.5291695309873848e+18,,,
18,1529169530861363205,,,null
19,1529169530827710467,,,null
20,1529169530823380992,,,null
21,1529169530592931841,,,https://magiceden.io/item-details/G5uGFZQqC33KV7snbBexpWSh46CFU6icMUtjRcJcrp8w
22,1.5291695300436623e+18,,,
23,1529169529326211074,,,null
24,1529169528860692481,,,null
25,1529169528826888192,,,null
26,1.5291695286634414e+18,,,
27,1529169528311398400,,,https://gleam.io/competitions/W0qLZ-5000-shoot-giveaway
28,1529169528076509184,,,https://opensea.io/collection/baby-doll-pankusuru
29,1.529169527753347e+18,,,
30,1529169527405264896,,,https://coinmarketcap.com/gravity/articles/28440
31,1529169526805385217,,,null
32,1529169525865865218,,,null
33,1529169525760925696,,,null
34,1529169525509603328,,,https://web3-nft.mobox-launch.mom/momoverse.mobox.io/
35,1529169525467496448,,,null
36,1529169524649603079,,,null
37,1.529169524360102e+18,,,
38,1529169524280283136,,,null
39,1.5291695241336996e+18,,,
40,1.5291695240497766e+18,,,
41,1529169523257274368,,,null
42,1529169523038822400,,,https://mint.spacecadetsnft.com
43,1529169522472603648,,,http://Discord.gg/hapewives
44,1529169522145603584,,,http://discord.gg/KpRpV8eYVX
45,1529169522007089155,,,null
46,1529169519922630656,,,https://t.me/vibloscommunity
47,1529169519502995456,,,null
48,1529169519343706115,,,null
49,1.5291695185007124e+18,,,
50,1529169518030774272,,,null
51,1529169517955321856,,,null
52,1529169517573812229,,,null
53,1529169517091225601,,,null
54,1529169517057781760,,,null
55,1529169517041287168,,,null
56,1529169516852297728,,,null
57,1529169516713984003,,,null
58,1529169516583800832,,,null
59,1.529169515929645e+18,,,
60,1.5291695152585646e+18,,,
61,1529169514901929985,,,null
62,1529169514784358401,,,https://droptown.io/latest-news/ethereum-news/algorands-report-card-22-days-after-the-announcement-of-a-partnership-with-fifa/
63,1529169513006112771,,,https://discord.gg/nZgyYdWVq2
64,1529169512867590144,,,http://discord.gg/jap67euSfF
65,1529169512549216256,,,null
66,1.529169512427307e+18,,,
67,1529169512347897857,,,null
68,1529169512242741252,,,null
69,1529169511793950720,,,null
70,1529169511773093891,,,null
71,1529169511517040640,,,https://mintable.app/COLLECTIBLES/item/0040-DPFC/0xc23d925684919c1619f13427817d3fee6c24debb:10841986198795520848290564722163632845357377141614686179755014570362541414448
72,1529169511450087426,,,null
73,1.529169511240319e+18,,,
74,1529169511005700096,,,https://mint.spacecadetsnft.com
75,1529169510934007808,,,null
76,1529169509810044931,,,https://oncyber.io/dgsg
77,1529169509428236289,,,null
78,1529169509310992384,,,https://opensea.io/collection/et-clube
79,1529169508199546881,,,https://bit.ly/PMHOS
80,1529169507549315074,,,https://foundation.app/@gaeldk
81,1.5291695069956833e+18,,,
82,1529169506852929536,,,null
83,1529169506303627266,,,http://discord.gg/2YCjsadUAN
84,1529169505104015361,,,https://discord.gg/promisphere
85,1529169504688816129,,,null
86,1.52916950434936e+18,,,
87,1529169503422140417,,,null
88,1529169502797283334,,,https://t.me/vibloscommunity
89,1529169502784475137,,,null
90,1529169502780399617,,,null
