user_id, user_name, followers, tweet_url, tweet ,Label,,
7.41077E+17,Crypto_GA_Arena,204526,https://twitter.com/random/status/1522223997777506305,$100 Giveaway ~ Ends In 24hrs ⏰\n\n🔹RT + Follow @NFTAnalystIG \n\nGood luck 💫 https://t.co/ZHsfE7l865,Promoter,,
1976242206,MissIndahReal,84128,https://twitter.com/random/status/1520339068319457280,💰 $20 | 290.000 IDR in 24 Hours🦋\n\nRT &amp; Follow  @Astarter_Pad,Promoter,,
464012781,bainesy4886,199668,https://twitter.com/random/status/1535281816034234369,$100 🚀 24 hours\n\nMust retweet this and follow @MarioNawfal &amp; myself ($50)\n\nSet Reminder ($50) 👇🏻 https://t.co/6nYksB9ARW Post Proof,Promoter,,
7.58614E+17,CryptoElwis,183923,https://twitter.com/random/status/1535613334808154112,$50 in 12 Hours RT,Promoter,,
1.35759E+18,gnarhost,190518,https://twitter.com/random/status/1529072368492355584,$10 in 60 mins!\n\n- RT and follow @maxter_crypto \n@BenCryptwo,Promoter,,
1.37355E+18,nft_boyka,90558,https://twitter.com/random/status/1536353220150296581,$400 • 8 hrs • 4 WINNERS\n\nRT • LIKE • FOLLOW\n\n@NotpoopNFT \n@PromoterLenka \n@metazukii \n@nft_boyka,Promoter,,
1.34677E+18,GAContest_,348907,https://twitter.com/random/status/1535525931250372608,$100 Giving in 24 HOURS\n\nRT &amp; Follow @katherine_Promo 🔔,Promoter,,
3191032983,CryptoKing1st,616357,https://twitter.com/random/status/1536432276707282944,$100 IN 8 HOURS\n\n- RT &amp; Follow @ArcanaContinuum,Promoter,,
242169113,LaQArth,916449,https://twitter.com/random/status/1536309924724199424,$150 | 24 Hours | 🐺\n\n$75\n☑️ RT • Follow : @StopWarNFT2022 \n\n$75\n☑️ Join Discord : https://t.co/zdcK0wHcmq\n\nPost Proof,Promoter,,
1.48364E+18,cleollipop,74772,https://twitter.com/random/status/1537985253838843910,$5 || 60 MINS \n\nRT &amp; follow @tr3vcrypto,Promoter,,
2820741398,proofinthedoof,47514,https://twitter.com/random/status/1535702349263405056,$20 | 2 days\n\n• RT + Follow @NotFun22 🔔 \n\nPost a gif you think Sooty would like.\n\n#SootyNotSorry https://t.co/p5xXlZla3c,Promoter,,
1.05332E+18,prctiu,199512,https://twitter.com/random/status/1536600390963445761,$20 | 280.000 IDR IN 3HOURS🍎\n\n~ retweet\n~ rt,Promoter,,
432927724,yumcrypto,1052537,https://twitter.com/random/status/1529115137344700417,$50 || 700.000 IDR || IN 12 HOURS\n\n✅ RT \n✅ RT &amp; Like @ATM_Official1  pinned 📌,Promoter,,
1.29124E+18,CryptoGeum,107462,https://twitter.com/random/status/1532551451935121410,$70 || 1 JT in 24 hours\n\nRT &amp; Follow @Oases_NFT + RT 📌,Promoter,,
1.46121E+18,sitiogiveaways,63934,https://twitter.com/random/status/1536324448378564608,$1 ~ 15 minutes 🧭\n\n- RT &amp; Follow @RexxaProms w/🔔,Promoter,,
8.66148E+17,kirsofficial,535655,https://twitter.com/random/status/1537202556534808576,$15 | 210.000 IDR – 2 HOURS \n\nRT + RT LIKE &amp; Tag friends on @cymmelanie1 📌,Promoter,,
1.22806E+18,SlothNFT_,159072,https://twitter.com/random/status/1508848795550826496,$150[ 1 winner ] 24 hrs $DAOGOFINANCE\n\n💥RT - Follow \n@DaogoFinance\n\n💥Join Discord: https://t.co/xTVCHixgqz,Promoter,,
1.23765E+18,YunaPromotes_,134596,https://twitter.com/random/status/1536454542594027520,$50 ~ 735K | 6 HOURS ⏳\n\n• RT &amp; Like/RT @thenftgeneral 📌,Promoter,,
1.41594E+18,queennKrii,122662,https://twitter.com/random/status/1536481618130776064,$10 | 136k ~ 120 mins (KG 1🍓)\n\nㅡ retweet + follow @metacropolisnft  \n\nㅡ rt + tag 3 friends on their📌,Promoter,,
179512534,itsDozmazek,64036,https://twitter.com/random/status/1535874987684511744,$300 | 24 Hours ⏰\n\n- RT + Follow @metabrewsociety \n- Like,Promoter,,
